Товарное слово в проме,Категории_allbiz_step_3_CAT1,Категории_allbiz_step_3_CAT2,Категории_allbiz_step_3__LEN,Новая Категория 1_ANTON,Новая Категория 2_ANTON,Товар или услуга_ANTON,count_ANTON,allbiz_cat,allbiz_weights
услуга_перевозки_груза,Логистические услуги,Транспортировка негабаритных и опасных грузов,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Транспортировка негабаритных и опасных грузов,1
услуга_перевозки_груза,Логистические услуги,Перевозка грузов водным транспортом,9,Логистические услуги,Грузоперевозки,услуги,14257,Логистические услуги / Перевозка грузов водным транспортом,1
транспортно-экспедиционная_услуга,Логистические услуги,Транспортно-экспедиторские услуги,1,Логистические услуги,Транспортно-экспедиторские услуги,услуги,11928,Логистические услуги / Транспортно-экспедиторские услуги,2
коммунальные_услуги,"Вода, газ и тепло",Отопительное оборудование,3,Коммунальные услуги,Коммунальные услуги в целом,услуги,10867,"Вода, газ и тепло / Отопительное оборудование",3
коммунальные_услуги,Коммунальные услуги,Коммунальные услуги в целом,3,Коммунальные услуги,Коммунальные услуги в целом,услуги,10867,Коммунальные услуги / Коммунальные услуги в целом,1
коммунальные_услуги,"Вода, газ и тепло",Ремонт инженерных коммуникаций,3,Коммунальные услуги,Коммунальные услуги в целом,услуги,10867,"Вода, газ и тепло / Ремонт инженерных коммуникаций",3
коммунальные_услуги,Коммунальные услуги,Услуги жилищно-коммунальных служб,3,Коммунальные услуги,Коммунальные услуги в целом,услуги,10867,Коммунальные услуги / Услуги жилищно-коммунальных служб,2
услуга_водоотведения,"Вода, газ и тепло",Очистка промышленных и бытовых сточных вод,1,Коммунальные услуги,Вывоз мусора и снега,услуги,8945,"Вода, газ и тепло / Очистка промышленных и бытовых сточных вод",2
услуга_водоотведения,Коммунальные услуги,Вывоз мусора и снега,1,Коммунальные услуги,Вывоз мусора и снега,услуги,8945,Коммунальные услуги / Вывоз мусора и снега,3
электроэнергия,Коммунальные услуги,Услуги жилищно-коммунальных служб,6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,Коммунальные услуги / Услуги жилищно-коммунальных служб,2
электроэнергия,Энергетика и добыча,Электростанции и распределительные устройства,6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,Энергетика и добыча / Электростанции и распределительные устройства,2
электроэнергия,Энергетика и добыча,"Распределение, доставка и учет электроэнергии",6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,"Энергетика и добыча / Распределение, доставка и учет электроэнергии",1
электроэнергия,Электротехника,Электромонтажные работы и услуги,6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,Электротехника / Электромонтажные работы и услуги,3
электроэнергия,Электротехника,Проведение электроизмерений,6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,Электротехника / Проведение электроизмерений,3
электроэнергия,Электротехника,Работы по электротехнике,6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,Электротехника / Работы по электротехнике,3
электроэнергия,Коммунальные услуги,Электроэнергетические услуги,6,Коммунальные услуги,Электроэнергетические услуги,товар,8808,Коммунальные услуги / Электроэнергетические услуги,1
услуга_водоснабжения,"Вода, газ и тепло",Услуги водоснабжения,4,"Вода, газ и тепло",Услуги водоснабжения,услуги,8711,"Вода, газ и тепло / Услуги водоснабжения",1
услуга_водоснабжения,"Вода, газ и тепло",Оборудование для водоснабжения,4,"Вода, газ и тепло",Услуги водоснабжения,услуги,8711,"Вода, газ и тепло / Оборудование для водоснабжения",2
услуга_водоснабжения,"Вода, газ и тепло",Обслуживание объектов коммунальной инфраструктуры,4,"Вода, газ и тепло",Услуги водоснабжения,услуги,8711,"Вода, газ и тепло / Обслуживание объектов коммунальной инфраструктуры",3
услуга_водоснабжения,"Вода, газ и тепло",Проектирование и монтаж объектов водоснабжения,4,"Вода, газ и тепло",Услуги водоснабжения,услуги,8711,"Вода, газ и тепло / Проектирование и монтаж объектов водоснабжения",1
услуга_водоснабжения,Коммунальные услуги,Услуги жилищно-коммунальных служб,4,"Вода, газ и тепло",Услуги водоснабжения,услуги,8711,Коммунальные услуги / Услуги жилищно-коммунальных служб,2
услуга_выдачи_электронной_подписи,Безопасность и защита,Обеспечение защиты информации,2,ИТ Услуги,Разработка программного обеспечения,услуги,7622,Безопасность и защита / Обеспечение защиты информации,2
услуга_выдачи_электронной_подписи,Безопасность и защита,Средства обеспечения информационной безопасности,2,ИТ Услуги,Разработка программного обеспечения,услуги,7622,Безопасность и защита / Средства обеспечения информационной безопасности,3
услуга_выдачи_электронной_подписи,ИТ Услуги,Разработка программного обеспечения,2,ИТ Услуги,Разработка программного обеспечения,услуги,7622,ИТ Услуги / Разработка программного обеспечения,3
услуга_связи_интернет,ИТ Услуги,Интернет услуги,2,Телекоммуникации,Средства связи,услуги,7254,ИТ Услуги / Интернет услуги,1
услуга_связи_интернет,Телекоммуникации,Телефонная связь общего пользования,2,Телекоммуникации,Средства связи,услуги,7254,Телекоммуникации / Телефонная связь общего пользования,2
услуга_связи_интернет,Телекоммуникации,Средства связи,2,Телекоммуникации,Средства связи,услуги,7254,Телекоммуникации / Средства связи,3
услуга_отопления,Недвижимость,Строительство и монтаж инженерных систем,3,"Вода, газ и тепло",Услуга отопления,услуги,7176,Недвижимость / Строительство и монтаж инженерных систем,3
услуга_отопления,Энергетика и добыча,"Распределение, доставка и учет тепловой энергии",3,"Вода, газ и тепло",Услуга отопления,услуги,7176,"Энергетика и добыча / Распределение, доставка и учет тепловой энергии",1
услуга_отопления,"Вода, газ и тепло",Отопительное оборудование,3,"Вода, газ и тепло",Услуга отопления,услуги,7176,"Вода, газ и тепло / Отопительное оборудование",2
услуга_отопления,"Вода, газ и тепло",Услуга отопления,3,"Вода, газ и тепло",Услуга отопления,услуги,7176,"Вода, газ и тепло / Услуга отопления",1
канцелярские_товары,Офисное оборудование,Канцтовары,2,Офисное оборудование,Канцтовары,товар,6442,Офисное оборудование / Канцтовары,1
канцелярские_товары,Бумага и картон,Бумага разная,2,Офисное оборудование,Канцтовары,товар,6442,Бумага и картон / Бумага разная,3
услуга_электронного_документооборота,Компьютеры и ПО,"Программные продукты, ПО",3,ИТ Услуги,Разработка программного обеспечения,услуги,6404,"Компьютеры и ПО / Программные продукты, ПО",3
услуга_электронного_документооборота,Бухгалтерские услуги,Сдача отчетности в электронном виде,3,ИТ Услуги,Разработка программного обеспечения,услуги,6404,Бухгалтерские услуги / Сдача отчетности в электронном виде,2
услуга_электронного_документооборота,ИТ Услуги,Разработка и внедрение программного обеспечения,3,ИТ Услуги,Разработка программного обеспечения,услуги,6404,ИТ Услуги / Разработка и внедрение программного обеспечения,2
услуга_электронного_документооборота,ИТ Услуги,Разработка программного обеспечения,3,ИТ Услуги,Разработка программного обеспечения,услуги,6404,ИТ Услуги / Разработка программного обеспечения,2
услуга_обслуживания_пожарной_сигнализации,Безопасность и защита,Обслуживание пожарного оборудования,2,Безопасность и защита,"Монтаж, обслуживание систем безопасности",услуги,5952,Безопасность и защита / Обслуживание пожарного оборудования,1
услуга_обслуживания_пожарной_сигнализации,Безопасность и защита,Обслуживание систем безопасности,2,Безопасность и защита,"Монтаж, обслуживание систем безопасности",услуги,5952,Безопасность и защита / Обслуживание систем безопасности,2
услуга_обслуживания_пожарной_сигнализации,Безопасность и защита,"Монтаж, обслуживание систем безопасности",2,Безопасность и защита,"Монтаж, обслуживание систем безопасности",услуги,5952,"Безопасность и защита / Монтаж, обслуживание систем безопасности",1
услуга_размещения_объявления_в_газете,"Маркетинг, маркетинговые услуги",Рекламные услуги,2,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,5946,"Маркетинг, маркетинговые услуги / Рекламные услуги",1
услуга_размещения_объявления_в_газете,Рекламные услуги,Комплексное рекламное обслуживание,2,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,5946,Рекламные услуги / Комплексное рекламное обслуживание,1
услуга_размещения_объявления_в_газете,Полиграфия,Изделия полиграфические,2,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,5946,Полиграфия / Изделия полиграфические,3
хозяйственные_товары,Дом и сад,Товары и продукция для дома,3,Дом и сад,Инвентарь для уборки,товар,5529,Дом и сад / Товары и продукция для дома,2
хозяйственные_товары,Дом и сад,Кухонные принадлежности,3,Дом и сад,Инвентарь для уборки,товар,5529,Дом и сад / Кухонные принадлежности,2
хозяйственные_товары,Дом и сад,Другие потребительские товары,3,Дом и сад,Инвентарь для уборки,товар,5529,Дом и сад / Другие потребительские товары,2
хозяйственные_товары,Дом и сад,Инвентарь для уборки,3,Дом и сад,Инвентарь для уборки,товар,5529,Дом и сад / Инвентарь для уборки,2
продукты_питания,Продукты и напитки,Фасовка и упаковка продуктов питания,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Фасовка и упаковка продуктов питания,1
продукты_питания,Продукты и напитки,"Переработка и хранение мясной, рыбной продукции",11,Продукты и напитки,Продукты и напитки другие,товар,4726,"Продукты и напитки / Переработка и хранение мясной, рыбной продукции",3
продукты_питания,Продукты и напитки,Мясо и мясная продукция,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Мясо и мясная продукция,1
продукты_питания,Продукты и напитки,Хлебопекарни,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Хлебопекарни,1
продукты_питания,Продукты и напитки,Бакалея,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Бакалея,1
продукты_питания,Продукты и напитки,Молоко и молочная продукция,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Молоко и молочная продукция,1
продукты_питания,Продукты и напитки,"Рыба, морепродукты",11,Продукты и напитки,Продукты и напитки другие,товар,4726,"Продукты и напитки / Рыба, морепродукты",1
продукты_питания,Продукты и напитки,Предприятия общественного питания,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Предприятия общественного питания,2
продукты_питания,Продукты и напитки,Хранение и реализация молочной продукции,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Хранение и реализация молочной продукции,1
продукты_питания,Продукты и напитки,"Заготовка, переработка молочной продукции",11,Продукты и напитки,Продукты и напитки другие,товар,4726,"Продукты и напитки / Заготовка, переработка молочной продукции",1
продукты_питания,Продукты и напитки,Продукты и напитки другие,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Продукты и напитки другие,1
продукты_питания,Продукты и напитки,Продукты питания и пищевые ингредиенты,11,Продукты и напитки,Продукты и напитки другие,товар,4726,Продукты и напитки / Продукты питания и пищевые ингредиенты,1
гайка,Металлы и прокат,"Металлоизделия, метизы",2,Стройматериалы,Строительные изделия крепежные,товар,4586,"Металлы и прокат / Металлоизделия, метизы",1
гайка,Металлы и прокат,"Производство металлоизделий, метизов",2,Стройматериалы,Строительные изделия крепежные,товар,4586,"Металлы и прокат / Производство металлоизделий, метизов",1
гайка,Стройматериалы,Строительные изделия крепежные,2,Стройматериалы,Строительные изделия крепежные,товар,4586,Стройматериалы / Строительные изделия крепежные,2
услуга_ремонта_а/м,Авто-мото-велотехника,Обслуживание и ремонт автотранспорта,3,Авто-мото-велотехника,Обслуживание и ремонт автотранспорта,услуги,4544,Авто-мото-велотехника / Обслуживание и ремонт автотранспорта,1
услуга_ремонта_а/м,Авто-мото-велотехника,Ремонт и обслуживание авто-мото электроники,3,Авто-мото-велотехника,Обслуживание и ремонт автотранспорта,услуги,4544,Авто-мото-велотехника / Ремонт и обслуживание авто-мото электроники,2
услуга_ремонта_а/м,Авто-мото-велотехника,Ремонт легковых автомобилей,3,Авто-мото-велотехника,Обслуживание и ремонт автотранспорта,услуги,4544,Авто-мото-велотехника / Ремонт легковых автомобилей,1
услуга_ремонта_а/м,Авто-мото-велотехника,Ремонт и техническое обслуживание автомобильных приборов,3,Авто-мото-велотехника,Обслуживание и ремонт автотранспорта,услуги,4544,Авто-мото-велотехника / Ремонт и техническое обслуживание автомобильных приборов,2
масло_моторное,Промышленная химия,"Нефтяные продукты, масла и смазки",1,Авто-мото-велотехника,"Расходные материалы, запчасти, автохимия и автокосметика",товар,4173,"Промышленная химия / Нефтяные продукты, масла и смазки",1
масло_моторное,Авто-мото-велотехника,"Расходные материалы, запчасти, автохимия и автокосметика",1,Авто-мото-велотехника,"Расходные материалы, запчасти, автохимия и автокосметика",товар,4173,"Авто-мото-велотехника / Расходные материалы, запчасти, автохимия и автокосметика",2
услуга_размещения_рекламно-информационных_материалов,Рекламные услуги,Разработка и дизайн рекламы,4,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,4009,Рекламные услуги / Разработка и дизайн рекламы,1
услуга_размещения_рекламно-информационных_материалов,Рекламные услуги,Комплексное рекламное обслуживание,4,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,4009,Рекламные услуги / Комплексное рекламное обслуживание,1
услуга_размещения_рекламно-информационных_материалов,Рекламные услуги,Контроль и анализ рекламных кампаний,4,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,4009,Рекламные услуги / Контроль и анализ рекламных кампаний,1
услуга_размещения_рекламно-информационных_материалов,Торговля и склад,"Рекламное и выставочное оборудование, материалы",4,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,4009,"Торговля и склад / Рекламное и выставочное оборудование, материалы",2
услуга_размещения_рекламно-информационных_материалов,"Маркетинг, маркетинговые услуги",Рекламные услуги,4,"Маркетинг, маркетинговые услуги",Рекламные услуги,услуги,4009,"Маркетинг, маркетинговые услуги / Рекламные услуги",1
услуга_проживания,Здоровье и красота,Отдых и оздоровление в санаториях,3,Недвижимость,Строительство объектов для отдыха и развлечений,услуги,3951,Здоровье и красота / Отдых и оздоровление в санаториях,2
услуга_проживания,Риэлторские услуги,Аренда объектов недвижимости,3,Недвижимость,Строительство объектов для отдыха и развлечений,услуги,3951,Риэлторские услуги / Аренда объектов недвижимости,3
услуга_проживания,Недвижимость,Строительство объектов для отдыха и развлечений,3,Недвижимость,Строительство объектов для отдыха и развлечений,услуги,3951,Недвижимость / Строительство объектов для отдыха и развлечений,3
услуга_проживания,Туристические услуги,"Услуги гостиниц, мотелей и кемпингов",3,Недвижимость,Строительство объектов для отдыха и развлечений,услуги,3951,"Туристические услуги / Услуги гостиниц, мотелей и кемпингов",1
авто_шины,Авто-мото-велотехника,Шины и диски,2,Авто-мото-велотехника,Шины и диски,товар,3728,Авто-мото-велотехника / Шины и диски,1
авто_шины,Авто-мото-велотехника,"Расходные материалы, автохимия и автокосметика",2,Авто-мото-велотехника,Шины и диски,товар,3728,"Авто-мото-велотехника / Расходные материалы, автохимия и автокосметика",2
авто_шины,Авто-мото-велотехника,Запчасти на авто,2,Авто-мото-велотехника,Шины и диски,товар,3728,Авто-мото-велотехника / Запчасти на авто,2
строительные_материалы,Стройматериалы,Сыпучие и дорожно-строительные материалы,5,Стройматериалы,Строительные материлы другие,товар,3690,Стройматериалы / Сыпучие и дорожно-строительные материалы,1
строительные_материалы,Стройматериалы,Строительные изделия крепежные,5,Стройматериалы,Строительные материлы другие,товар,3690,Стройматериалы / Строительные изделия крепежные,1
строительные_материалы,Стройматериалы,Фасовка строительных материалов,5,Стройматериалы,Строительные материлы другие,товар,3690,Стройматериалы / Фасовка строительных материалов,1
строительные_материалы,Стройматериалы,"Тепло-, звуко-, шумо, влагоизолирующие материалы",5,Стройматериалы,Строительные материлы другие,товар,3690,"Стройматериалы / Тепло-, звуко-, шумо, влагоизолирующие материалы",1
строительные_материалы,Стройматериалы,Услуги по обработке стройматериалов,5,Стройматериалы,Строительные материлы другие,товар,3690,Стройматериалы / Услуги по обработке стройматериалов,2
строительные_материалы,Стройматериалы,Строительные материлы другие,5,Стройматериалы,Строительные материлы другие,товар,3690,Стройматериалы / Строительные материлы другие,1
болт,Металлы и прокат,"Производство металлоизделий, метизов",2,Стройматериалы,Строительные изделия крепежные,товар,3576,"Металлы и прокат / Производство металлоизделий, метизов",3
болт,Стройматериалы,Строительные изделия крепежные,2,Стройматериалы,Строительные изделия крепежные,товар,3576,Стройматериалы / Строительные изделия крепежные,1
услуга_тех._обслуживания,Инструменты,Ремонт специального инструмента,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Инструменты / Ремонт специального инструмента,3
услуга_тех._обслуживания,Промышленность,Обслуживание проектов,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Промышленность / Обслуживание проектов,2
услуга_тех._обслуживания,Авто-мото-велотехника,Ремонт легковых автомобилей,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Авто-мото-велотехника / Ремонт легковых автомобилей,1
услуга_тех._обслуживания,Компьютеры и ПО,Ремонт и обслуживание периферии компьютеров,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Компьютеры и ПО / Ремонт и обслуживание периферии компьютеров,2
услуга_тех._обслуживания,Промышленность,"Ремонт, монтаж, наладка специального оборудования",14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,"Промышленность / Ремонт, монтаж, наладка специального оборудования",2
услуга_тех._обслуживания,Электротехника,Электромонтажные работы и услуги,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Электротехника / Электромонтажные работы и услуги,3
услуга_тех._обслуживания,Авто-мото-велотехника,Ремонт и техническое обслуживание грузовиков,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Авто-мото-велотехника / Ремонт и техническое обслуживание грузовиков,1
услуга_тех._обслуживания,Авто-мото-велотехника,Ремонт и техническое обслуживание автомобильных приборов,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Авто-мото-велотехника / Ремонт и техническое обслуживание автомобильных приборов,1
услуга_тех._обслуживания,Авто-мото-велотехника,Ремонт и обслуживание авто-мото электроники,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Авто-мото-велотехника / Ремонт и обслуживание авто-мото электроники,1
услуга_тех._обслуживания,Электротехника,Обслуживание и ремонт электрооборудования,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Электротехника / Обслуживание и ремонт электрооборудования,1
услуга_тех._обслуживания,Компьютеры и ПО,Ремонт и модернизация компьютеров,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Компьютеры и ПО / Ремонт и модернизация компьютеров,2
услуга_тех._обслуживания,Деловые услуги,Сервисное обслуживание потребителей,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Деловые услуги / Сервисное обслуживание потребителей,1
услуга_тех._обслуживания,Промышленность,"Ремонт, монтаж, наладка промышленного оборудования",14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,"Промышленность / Ремонт, монтаж, наладка промышленного оборудования",1
услуга_тех._обслуживания,Компьютеры и ПО,Профилактика компьютеров,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Компьютеры и ПО / Профилактика компьютеров,2
услуга_тех._обслуживания,Сервисное оборудование,Установка и монтаж сервисного оборудования,14,Сервисное оборудование,Установка и монтаж сервисного оборудования,услуги,3562,Сервисное оборудование / Установка и монтаж сервисного оборудования,2
запчасти,Авто-мото-велотехника,"Расходные материалы, запчасти, автохимия и автокосметика",1,Авто-мото-велотехника,"Расходные материалы, запчасти, автохимия и автокосметика",товар,3550,"Авто-мото-велотехника / Расходные материалы, запчасти, автохимия и автокосметика",1
запчасти,Авто-мото-велотехника,Запчасти на авто,1,Авто-мото-велотехника,"Расходные материалы, запчасти, автохимия и автокосметика",товар,3550,Авто-мото-велотехника / Запчасти на авто,1
услуга_организации_мероприятия,Деловые услуги,Конференции и форумы,4,Деловые услуги,Мероприятия,услуги,3511,Деловые услуги / Конференции и форумы,1
